Date,Price,Unit
2021-12-08,7.55220753406372,м^3

2021-12-09,7.398323076923027,м^3

2021-12-10,7.479071409679882,м^3

2021-12-11,7.201296000000121,м^3
2021-12-12,7.201584000000048,м^3
2021-12-13,7.102765184626869,м^3
2021-12-15,7.4461415854621595,м^3
2021-12-16,7.380204855129275,м^3
2021-12-17,7.493429086092653,м^3
2021-12-18,7.664280487804861,м^3
2021-12-19,7.662289268292584,м^3
2021-12-20,7.673376065128789,м^3
2021-12-21,7.351419911619382,м^3
2021-12-22,7.273625507842757,м^3
2021-12-23,7.114920785103166,м^3
2021-12-24,7.576876387027626,м^3
2021-12-25,7.576952130795977,м^3
2021-12-26,7.576876387027626,м^3
2021-12-27,7.125236734693979,м^3
2021-12-28,6.924115384615412,м^3
2021-12-29,6.925707692307822,м^3
2021-12-30,7.078585177766581,м^3
2021-12-31,7.847246836847882,м^3
2022-01-01,7.583832386059019,м^3
2022-01-02,7.579513833780052,м^3
2022-01-03,7.676865073329605,м^3
2022-01-04,7.379671745369288,м^3
2022-01-05,7.565048569136139,м^3
2022-01-06,7.345104959750636,м^3
2022-01-07,7.331045412130717,м^3
2022-01-09,7.220949591419711,м^3
2022-01-10,6.830102825404507,м^3
2022-01-11,6.857179674994037,м^3
2022-01-12,6.701484901635465,м^3
2022-01-13,5.8940602168473255,м^3
2022-01-14,6.622804776398996,м^3
2022-01-15,6.689692762535439,м^3
2022-01-16,6.635066072266615,м^3
2022-01-17,6.51275494125781,м^3
2022-01-18,6.61507540369771,м^3
2022-01-19,6.482368355881785,м^3
2022-01-20,7.0471130326439,м^3
2022-01-21,7.338942990654346,м^3
2022-01-22,7.127364438839884,м^3
2022-01-23,7.066766691672997,м^3
2022-01-24,7.176720578533398,м^3
2022-01-26,7.001803417533302,м^3
2022-01-27,6.655432854789448,м^3
2022-01-28,4.511766512370247,м^3
2022-01-29,6.091830135805242,м^3
2022-01-30,6.091830135805242,м^3
2022-01-31,5.677871431439353,м^3
2022-02-01,5.739677725888439,м^3
2022-02-02,5.77920466067042,м^3
2022-02-03,5.225958299445333,м^3
2022-02-04,5.739108238636467,м^3
2022-02-05,6.181102362204681,м^3
2022-02-06,6.181102362204681,м^3
2022-02-07,6.478370309278324,м^3
2022-02-08,6.610342389525396,м^3
2022-02-09,6.715408361045125,м^3
2022-02-10,6.992706976744292,м^3
2022-02-11,7.167105730223118,м^3
2022-02-12,7.17076884039572,м^3
2022-02-13,7.17076884039572,м^3
2022-02-14,6.894930065837591,м^3
2022-02-15,6.763600574299994,м^3
2022-02-16,6.4362278688525665,м^3
2022-02-17,6.088623696682333,м^3
2022-02-18,6.227030647292042,м^3
2022-02-19,6.377792823290554,м^3
2022-02-20,6.377792823290554,м^3
2022-02-21,6.0351537246530835,м^3
2022-02-22,5.883539050791017,м^3
2022-02-23,6.2703363192905215,м^3
2022-02-24,6.084136674553779,м^3
2022-02-25,6.190597985989456,м^3
2022-02-26,6.3221476510067545,м^3
2022-02-27,6.3221476510067545,м^3
2022-02-28,6.124367583965358,м^3
2022-03-01,6.448564652223466,м^3
2022-03-02,6.122224859246531,м^3
2022-03-03,5.8690959120148305,м^3
2022-03-04,5.950356154007975,м^3
2022-03-05,5.633971291865898,м^3
2022-03-06,5.633971291865898,м^3
2022-03-07,5.587729579134566,м^3
2022-03-08,5.8844802664445135,м^3
2022-03-09,6.1545640757675315,м^3
2022-03-10,6.238276522506682,м^3
2022-03-11,6.049538510911548,м^3
2022-03-12,5.980952380952335,м^3
2022-03-13,5.980952380952335,м^3
2022-03-14,5.998399363462782,м^3
2022-03-15,6.072894908700345,м^3
2022-03-16,6.121530994152078,м^3
2022-03-17,5.9534003368419715,м^3
2022-03-18,5.7320308534359965,м^3
2022-03-19,5.811227637260897,м^3
2022-03-20,5.811227637260897,м^3
2022-03-21,5.748075960170736,м^3
2022-03-22,5.699375216602871,м^3
2022-03-23,5.5034136602450765,м^3
2022-03-24,5.508443163225638,м^3
2022-03-25,5.19785483633697,м^3
2022-03-26,5.072697899838452,м^3
2022-03-27,5.072697899838452,м^3
2022-03-28,5.026942877467571,м^3
2022-03-29,5.151081078127705,м^3
2022-03-30,5.300444752623617,м^3
2022-03-31,5.0674098530992415,м^3
2022-04-01,4.99654372019082,м^3
2022-04-02,4.940559440559304,м^3
2022-04-03,4.940559440559304,м^3
2022-04-04,4.9313773940345715,м^3
2022-04-05,4.890055640138493,м^3
2022-04-06,4.665393666501657,м^3
2022-04-07,4.644837002957474,м^3
2022-04-09,4.501433577572442,м^3
2022-04-10,4.501433577572442,м^3
2022-04-11,4.43950043969846,м^3
2022-04-12,4.212352331297606,м^3
2022-04-13,4.208455471192575,м^3
2022-04-14,4.022617413572385,м^3
2022-04-15,3.872432958904176,м^3
